Город;ID;URL_имя;Категория;Количество
Новомичуринск;19309;novomichurinsk;sklady;3
Новомичуринск;19309;novomichurinsk;magaziny;5
Новомичуринск;19309;novomichurinsk;proizvodstvo;2
Рыбное;18378;rybnoe;kvartiry;511
Рыбное;18378;rybnoe;dom;222
Рыбное;18378;rybnoe;dachi;34
Рыбное;18378;rybnoe;kottedzhi;12
Рыбное;18378;rybnoe;taunhaus;1
Рыбное;18378;rybnoe;zemlya_izhs;209
Рыбное;18378;rybnoe;zemlya_selhoznaznacheniya;96
Рыбное;18378;rybnoe;zemlya_promnaznacheniya;12
Рыбное;18378;rybnoe;garazhi_m;31
Рыбное;18378;rybnoe;ofisy;5
Рыбное;18378;rybnoe;pomesh;24
Рыбное;18378;rybnoe;sklady;7
Рыбное;18378;rybnoe;magaziny;5
Рыбное;18378;rybnoe;proizvodstvo;1
Ряжск;21676;ryazhsk;kvartiry;87
Ряжск;21676;ryazhsk;dom;152
Ряжск;21676;ryazhsk;dachi;10
Ряжск;21676;ryazhsk;kottedzhi;1
Ряжск;21676;ryazhsk;taunhaus;115
Ряжск;21676;ryazhsk;zemlya_izhs;66
Ряжск;21676;ryazhsk;zemlya_selhoznaznacheniya;8
Ряжск;21676;ryazhsk;zemlya_promnaznacheniya;3
Ряжск;21676;ryazhsk;garazhi_m;20
Ряжск;21676;ryazhsk;ofisy;1
Ряжск;21676;ryazhsk;pomesh;6
Ряжск;21676;ryazhsk;sklady;4
Ряжск;21676;ryazhsk;magaziny;6
Ряжск;21676;ryazhsk;proizvodstvo;5
Рязань;525062;ryazan;kvartiry;20435
Рязань;525062;ryazan;dom;860
Рязань;525062;ryazan;dachi;189
Рязань;525062;ryazan;kottedzhi;112
Рязань;525062;ryazan;taunhaus;16
Рязань;525062;ryazan;zemlya_izhs;687
Рязань;525062;ryazan;zemlya_selhoznaznacheniya;421
Рязань;525062;ryazan;zemlya_promnaznacheniya;47
Рязань;525062;ryazan;garazhi_m;780
Рязань;525062;ryazan;ofisy;113
Рязань;525062;ryazan;pomesh;225
Рязань;525062;ryazan;sklady;41
Рязань;525062;ryazan;magaziny;109
Рязань;525062;ryazan;proizvodstvo;32
Сасово;28117;sasovo;kvartiry;154
Сасово;28117;sasovo;dom;180
Сасово;28117;sasovo;dachi;27
Сасово;28117;sasovo;kottedzhi;5
Сасово;28117;sasovo;taunhaus;1
Сасово;28117;sasovo;zemlya_izhs;83
Сасово;28117;sasovo;zemlya_selhoznaznacheniya;8
Сасово;28117;sasovo;zemlya_promnaznacheniya;4
Сасово;28117;sasovo;garazhi_m;20
Сасово;28117;sasovo;ofisy;3
Сасово;28117;sasovo;pomesh;11
Сасово;28117;sasovo;sklady;4
Сасово;28117;sasovo;magaziny;4
Сасово;28117;sasovo;proizvodstvo;5
Скопин;30374;skopin;kvartiry;191
Скопин;30374;skopin;dom;230
Скопин;30374;skopin;dachi;6
Скопин;30374;skopin;kottedzhi;4
Скопин;30374;skopin;taunhaus;28
Скопин;30374;skopin;zemlya_izhs;100
Скопин;30374;skopin;zemlya_selhoznaznacheniya;16
Скопин;30374;skopin;zemlya_promnaznacheniya;4
Скопин;30374;skopin;garazhi_m;12
Скопин;30374;skopin;ofisy;3
Скопин;30374;skopin;pomesh;17
Скопин;30374;skopin;sklady;7
Скопин;30374;skopin;magaziny;15
Скопин;30374;skopin;proizvodstvo;2
Жигулевск;57565;zhigulevsk;kvartiry;300
Жигулевск;57565;zhigulevsk;dom;141
Жигулевск;57565;zhigulevsk;dachi;120
